"Location","Parameter","AltitudeGroup","LanduseGroup","Median","LAWAState","Region","Scope","StateGroup"
"1000055","ECOLI","Lowland","Rural","1050",4,"Southland","Catchment","Catchment|Lowland|Rural"
"100018","BDISC","All","All","3.08",1,"Marlborough","Catchment","Catchment|All"
"100018","TURB","All","All","2.05",2,"Marlborough","Catchment","Catchment|All"
"100018","NH4","All","All","0.005",1,"Marlborough","Catchment","Catchment|All"
"100018","TON","All","All","0.1175",2,"Marlborough","Catchment","Catchment|All"
"100018","TN","All","All","0.0855",1,"Marlborough","Catchment","Catchment|All"
"100018","DRP","All","All","0.008",2,"Marlborough","Catchment","Catchment|All"
"100018","TP","All","All","0.0055",1,"Marlborough","Catchment","Catchment|All"
"100018","ECOLI","All","All","58",2,"Marlborough","Catchment","Catchment|All"
"100018","BDISC","Upland","All","3.13",2,"Marlborough","Catchment","Catchment|Upland"
"100018","TURB","Upland","All","1.73",3,"Marlborough","Catchment","Catchment|Upland"
"100018","NH4","Upland","All","0.005",1,"Marlborough","Catchment","Catchment|Upland"
"100018","TON","Upland","All","0.0349",2,"Marlborough","Catchment","Catchment|Upland"
"100018","TN","Upland","All","0.036",1,"Marlborough","Catchment","Catchment|Upland"
"100018","DRP","Upland","All","0.007",3,"Marlborough","Catchment","Catchment|Upland"
"100018","TP","Upland","All","0.005",1,"Marlborough","Catchment","Catchment|Upland"
"100018","ECOLI","Upland","All","17",2,"Marlborough","Catchment","Catchment|Upland"
"100018","BDISC","Lowland","All","3.03",1,"Marlborough","Catchment","Catchment|Lowland"
"100018","TURB","Lowland","All","2.05",2,"Marlborough","Catchment","Catchment|Lowland"
"100018","NH4","Lowland","All","0.005",1,"Marlborough","Catchment","Catchment|Lowland"
"100018","TON","Lowland","All","0.172",2,"Marlborough","Catchment","Catchment|Lowland"
"100018","TN","Lowland","All","0.135",1,"Marlborough","Catchment","Catchment|Lowland"
"100018","DRP","Lowland","All","0.0101",2,"Marlborough","Catchment","Catchment|Lowland"
"100018","TP","Lowland","All","0.006",1,"Marlborough","Catchment","Catchment|Lowland"
"100018","ECOLI","Lowland","All","65",1,"Marlborough","Catchment","Catchment|Lowland"
"100018","TURB","All","Rural","2.3",2,"Marlborough","Catchment","Catchment|Rural"
"100018","NH4","All","Rural","0.005",1,"Marlborough","Catchment","Catchment|Rural"
"100018","TON","All","Rural","0.178",2,"Marlborough","Catchment","Catchment|Rural"
"100018","DRP","All","Rural","0.0115",3,"Marlborough","Catchment","Catchment|Rural"
"100018","ECOLI","All","Rural","69",2,"Marlborough","Catchment","Catchment|Rural"
"100018","BDISC","All","Forest","3.08",2,"Marlborough","Catchment","Catchment|Forest"
"100018","TURB","All","Forest","1.28",2,"Marlborough","Catchment","Catchment|Forest"
"100018","NH4","All","Forest","0.004",1,"Marlborough","Catchment","Catchment|Forest"
"100018","TON","All","Forest","0.0286",1,"Marlborough","Catchment","Catchment|Forest"
"100018","TN","All","Forest","0.0855",1,"Marlborough","Catchment","Catchment|Forest"
"100018","DRP","All","Forest","0.005",2,"Marlborough","Catchment","Catchment|Forest"
