"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","Lat","Long"
"198","SQ34866","St Leonards Drain Dalzells Farm","ECAN-00138","YES","Lowland","Rural","Monthly","Monthly","Canterbury","Environment Canterbury Regional Council","-42.8324948248077","172.903096647124"
"199","SQ34869","Mason River SH70 ","ECAN-00139","YES","Upland","Rural","","","Canterbury","Environment Canterbury Regional Council","-42.6347007757093","173.064849853562"
"200","SQ34884","Zephyr Stream Above Governors Bay Rd","ECAN-00140","YES","Lowland","Natural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.6193233978532","172.649768672719"
"201","SQ34903","North Brook Upstream side of Bridge Marsh Rd ","ECAN-00141","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.3223979837256","172.623152695548"
"202","SQ34905","Cam River Marsh Rd bridge","ECAN-00189","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.3221420798844","172.630218670207"
"203","SQ35080","Ashburton River Above mouth via north bank","ECAN-00168","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.0510799042518","171.804718180523"
"204","SQ35119","Twizel River - Lower Below Black Stilt Station","ECAN-00185","YES","Upland","Rural","","Monthly","Canterbury","Environment Canterbury Regional Council","-44.3306789657287","170.186715707479"
"205","SQ35156","Wainui Stream upstream from Wainui Main Rd Bridge","ECAN-00156","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.8152059221775","172.902701074957"
"206","SQ35157","Takamatua Stream Above Highway Bridge ","ECAN-00157","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.7821851023631","172.970424248872"
"207","SQ35172","Kahutara River Dairy Farm Rd","ECAN-00160","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.4081484648624","173.541729874765"
"208","SQ35173","Blue Duck Creek Above SH1","ECAN-00161","YES","Lowland","Natural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.2791492165521","173.768152459295"
"209","SQ35174","Hapuku River SH1","ECAN-00162","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-42.3113319287353","173.717614452675"
"210","SQ35234","Barrys Bay Stream, Barrys Bay Valley Rd","ECAN-00163","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.7607647259703","172.91094266656"
"211","SQ35235","Pawsons Stream Pawsons Valley Road","ECAN-00164","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.7404667228914","172.933227827538"
